avg_rank_tier,Matches,Rank
80,158688,Immortal
79,23847,Divine
78,38622,Divine
77,36270,Divine
76,35109,Divine
75,33395,Divine
74,48174,Divine
73,79964,Divine
72,105532,Divine
71,88448,Divine
70,57011,Divine
69,62150,Ancient
68,66220,Ancient
67,70327,Ancient
66,81075,Ancient
65,91068,Ancient
64,141214,Ancient
63,197507,Ancient
62,224792,Ancient
61,189670,Ancient
60,146365,Ancient
59,158074,Legend
58,167774,Legend
57,175563,Legend
56,194465,Legend
55,212928,Legend
54,313611,Legend
53,420526,Legend
52,448251,Legend
51,369701,Legend
50,279047,Legend
49,298729,Archon
48,308694,Archon
47,308098,Archon
46,326878,Archon
45,336726,Archon
44,480212,Archon
43,623659,Archon
42,611360,Archon
41,470665,Archon
40,328773,Archon
39,357865,Crusader
38,361004,Crusader
37,337556,Crusader
36,337621,Crusader
35,321449,Crusader
34,485354,Crusader
33,627339,Crusader
32,575368,Crusader
31,404831,Crusader
30,237571,Crusader
29,281225,Guardian
28,290917,Guardian
27,248242,Guardian
26,226437,Guardian
25,204032,Guardian
24,368144,Guardian
23,462308,Guardian
22,399661,Guardian
21,260856,Guardian
20,108640,Guardian
19,156644,Herald
18,178726,Herald
17,129832,Herald
16,95170,Herald
15,93421,Herald
14,230040,Herald
13,251295,Herald
12,224840,Herald
11,3978,Herald
