patch. min, max
6.74,1338225112,1348941955
6.75,1349018552,1350771205
6.76,1350848181,1355514135
6.77,1355577723,1369869964
6.78,1369873817,1385250104
6.79,1385254234,1390756118
6.8,1391250349,1398727634
6.81,1398730544,1411516469
6.82,1411520510,1418771804
6.83,1418774808,1430427400
6.84,1430438391,1443121560
6.85,1443139734,1450294912
6.86,1450296394,1461607716
6.87,1461697495,1465717822
6.88,1465721626,1481556499
7,1481602192,1482287415
7.01,1482307691,1486575829
7.02,1486623768,1489611961
7.03,1489644824,1490289992
7.04,1490293899,1491763822
7.05,1491776516,1494858166
7.06,1494860683,1509477939
7.07,1509514863,1517408458
7.08,1517458977,1518651404
7.09,1518656464,1519843430
7.1,1519913292,1521068682
7.11,1521080717,1522262984
7.12,1522296326,1523473360
7.13,1523516868,1524699317
7.14,1524762564,1525900159
7.15,1525921292,1527356626
7.16,1527397417,1528577617
7.17,1528596023,1529795935
7.18,1529798571,1532901642
7.19,1532934098,1542648954
7.2,1542652288,1548775220
7.21,1548785576,1558741938
7.22,1558747414,1574790228
7.23,1574795110,1580070299
7.24,1580086481,1584459159
7.25,1584471556,1587165320
7.26,1587177332,1593382226
7.27,1593398166,1608248442
7.28,1608249726,1617981499
7.29,1618024590,1620313168
